first_name,last_name,company,address,city,country,phone,fax,email,support_rep_last_name,support_rep_first_name
Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,Brazil,+55 (12) 3923-5555,+55 (12) 3923-5566,luisg@embraer.com.br,Peacock,Jane
Leonie,Köhler,,Theodor-Heuss-Straße 34,Stuttgart,Germany,+49 0711 2842222,,leonekohler@surfeu.de,Johnson,Steve
François,Tremblay,,1498 rue Bélanger,Montréal,Canada,+1 (514) 721-4711,,ftremblay@gmail.com,Peacock,Jane
Bjørn,Hansen,,Ullevålsveien 14,Oslo,Norway,+47 22 44 22 22,,bjorn.hansen@yahoo.no,Park,Margaret
František,Wichterlová,JetBrains s.r.o.,Klanova 9/506,Prague,Czech Republic,+420 2 4172 5555,+420 2 4172 5555,frantisekw@jetbrains.com,Park,Margaret
Helena,Holý,,Rilská 3174/6,Prague,Czech Republic,+420 2 4177 0449,,hholy@gmail.com,Johnson,Steve
Daan,Peeters,,Grétrystraat 63,Brussels,Belgium,+32 02 219 03 03,,daan_peeters@apple.be,Park,Margaret
Kara,Nielsen,,Sønder Boulevard 51,Copenhagen,Denmark,+453 3331 9991,,kara.nielsen@jubii.dk,Park,Margaret
Eduardo,Martins,Woodstock Discos,"Rua Dr. Falcão Filho, 155",São Paulo,Brazil,+55 (11) 3033-5446,+55 (11) 3033-4564,eduardo@woodstock.com.br,Park,Margaret
Alexandre,Rocha,Banco do Brasil S.A.,"Av. Paulista, 2022",São Paulo,Brazil,+55 (11) 3055-3278,+55 (11) 3055-8131,alero@uol.com.br,Johnson,Steve
Roberto,Almeida,Riotur,"Praça Pio X, 119",Rio de Janeiro,Brazil,+55 (21) 2271-7000,+55 (21) 2271-7070,roberto.almeida@riotur.gov.br,Peacock,Jane
Fernanda,Ramos,,Qe 7 Bloco G,Brasília,Brazil,+55 (61) 3363-5547,+55 (61) 3363-7855,fernadaramos4@uol.com.br,Park,Margaret
Mark,Philips,Telus,8210 111 ST NW,Edmonton,Canada,+1 (780) 434-4554,+1 (780) 434-5565,mphilips12@shaw.ca,Johnson,Steve
Jennifer,Peterson,Rogers Canada,700 W Pender Street,Vancouver,Canada,+1 (604) 688-2255,+1 (604) 688-8756,jenniferp@rogers.ca,Peacock,Jane
Frank,Harris,Google Inc.,1600 Amphitheatre Parkway,Mountain View,USA,+1 (650) 253-0000,+1 (650) 253-0000,fharris@google.com,Park,Margaret
Jack,Smith,Microsoft Corporation,1 Microsoft Way,Redmond,USA,+1 (425) 882-8080,+1 (425) 882-8081,jacksmith@microsoft.com,Johnson,Steve
Michelle,Brooks,,627 Broadway,New York,USA,+1 (212) 221-3546,+1 (212) 221-4679,michelleb@aol.com,Peacock,Jane
Tim,Goyer,Apple Inc.,1 Infinite Loop,Cupertino,USA,+1 (408) 996-1010,+1 (408) 996-1011,tgoyer@apple.com,Peacock,Jane
Dan,Miller,,541 Del Medio Avenue,Mountain View,USA,+1 (650) 644-3358,,dmiller@comcast.com,Park,Margaret
Kathy,Chase,,801 W 4th Street,Reno,USA,+1 (775) 223-7665,,kachase@hotmail.com,Johnson,Steve
Heather,Leacock,,120 S Orange Ave,Orlando,USA,+1 (407) 999-7788,,hleacock@gmail.com,Park,Margaret
John,Gordon,,69 Salem Street,Boston,USA,+1 (617) 522-1333,,johngordon22@yahoo.com,Park,Margaret
Frank,Ralston,,162 E Superior Street,Chicago,USA,+1 (312) 332-3232,,fralston@gmail.com,Peacock,Jane
Victor,Stevens,,319 N. Frances Street,Madison,USA,+1 (608) 257-0597,,vstevens@yahoo.com,Johnson,Steve
Richard,Cunningham,,2211 W Berry Street,Fort Worth,USA,+1 (817) 924-7272,,ricunningham@hotmail.com,Park,Margaret
Patrick,Gray,,1033 N Park Ave,Tucson,USA,+1 (520) 622-4200,,patrick.gray@aol.com,Park,Margaret
Julia,Barnett,,302 S 700 E,Salt Lake City,USA,+1 (801) 531-7272,,jubarnett@gmail.com,Johnson,Steve
Robert,Brown,,796 Dundas Street West,Toronto,Canada,+1 (416) 363-8888,,robbrown@shaw.ca,Peacock,Jane
Edward,Francis,,230 Elgin Street,Ottawa,Canada,+1 (613) 234-3322,,edfrancis@yachoo.ca,Peacock,Jane
Martha,Silk,,194A Chain Lake Drive,Halifax,Canada,+1 (902) 450-0450,,marthasilk@gmail.com,Johnson,Steve
Aaron,Mitchell,,696 Osborne Street,Winnipeg,Canada,+1 (204) 452-6452,,aaronmitchell@yahoo.ca,Park,Margaret
Ellie,Sullivan,,5112 48 Street,Yellowknife,Canada,+1 (867) 920-2233,,ellie.sullivan@shaw.ca,Peacock,Jane
João,Fernandes,,Rua da Assunção 53,Lisbon,Portugal,+351 (213) 466-111,,jfernandes@yahoo.pt,Park,Margaret
Hannah,Schneider,,Tauentzienstraße 8,Berlin,Germany,+49 030 26550280,,hannah.schneider@yahoo.de,Johnson,Steve
Fynn,Zimmermann,,Berger Straße 10,Frankfurt,Germany,+49 069 40598889,,fzimmermann@yahoo.de,Peacock,Jane
Niklas,Schröder,,Barbarossastraße 19,Berlin,Germany,+49 030 2141444,,nschroder@surfeu.de,Peacock,Jane
Camille,Bernard,,"4, Rue Milton",Paris,France,+33 01 49 70 65 65,,camille.bernard@yahoo.fr,Park,Margaret
Dominique,Lefebvre,,"8, Rue Hanovre",Paris,France,+33 01 47 42 71 71,,dominiquelefebvre@gmail.com,Park,Margaret
Marc,Dubois,,"11, Place Bellecour",Lyon,France,+33 04 78 30 30 30,,marc.dubois@hotmail.com,Johnson,Steve
Wyatt,Girard,,"9, Place Louis Barthou",Bordeaux,France,+33 05 56 96 96 96,,wyatt.girard@yahoo.fr,Peacock,Jane
Isabelle,Mercier,,"68, Rue Jouvence",Dijon,France,+33 03 80 73 66 99,,isabelle_mercier@apple.fr,Peacock,Jane
Terhi,Hämäläinen,,Porthaninkatu 9,Helsinki,Finland,+358 09 870 2000,,terhi.hamalainen@apple.fi,Peacock,Jane
Hugh,O'Reilly,,3 Chatham Street,Dublin,Ireland,+353 01 6792424,,hughoreilly@apple.ie,Peacock,Jane
Lucas,Mancini,,"Via Degli Scipioni, 43",Rome,Italy,+39 06 39733434,,lucas.mancini@yahoo.it,Johnson,Steve
